,word,count,len
0,foul,1,4
1,four,3,4
2,hanging,4,7
3,increase,1,8
4,scold,1,5
5,lord,6,4
6,immature,1,8
7,sinking,2,7
8,oceans,1,6
9,bringing,1,8
10,disturb,2,7
11,uttering,2,8
12,wooden,1,6
13,piling,1,6
14,shouting,2,8
15,specially,6,9
16,tired,5,5
17,second,5,6
18,sustaining,1,10
19,thunder,1,7
20,cooking,1,7
21,fingers,5,7
22,increasing,1,10
23,shocks,1,6
24,hero,8,4
25,avert,3,5
26,unseemly,1,8
27,cult,2,4
28,pretensions,1,11
29,elaborate,1,9
30,reports,1,7
31,controversy,1,11
32,natures,5,7
33,military,2,8
34,golden,6,6
35,explained,1,9
36,gloaming,1,8
37,summons,3,7
38,brought,25,7
39,remnant,1,7
40,summone,1,7
41,unit,1,4
42,cheating,1,8
43,spoke,1,5
44,definiteness,1,12
45,symphony,2,8
46,music,20,5
47,therefore,20,9
48,strike,2,6
49,holy,4,4
50,successful,2,10
51,brings,1,6
52,whirling,2,8
53,hurt,13,4
54,glass,3,5
55,tying,1,5
56,[on,1,3
57,midst,4,5
58,hold,14,4
59,circumstances,1,13
60,locked,1,6
61,pursue,3,6
62,accomplishment,2,14
63,example,6,7
64,unjust,3,6
65,household,18,9
66,chasm,1,5
67,currency,4,8
68,caution,1,7
69,kingdoms,1,8
70,want,73,4
71,cookery,1,7
72,somebodys,2,9
73,absolute,2,8
74,gusts,1,5
75,complaining,1,11
76,travel,1,6
77,feature,1,7
78,machine,5,7
79,imperishable,1,12
80,hot,1,3
81,hesitatingly,1,12
82,dared,2,5
83,dignified,1,9
84,fanaticism,3,10
85,bibhisan,1,8
86,abstraction,1,11
87,beauty,20,6
88,wrong,14,5
89,twined,1,6
90,reddens,1,7
91,unselfish,1,9
92,obscuring,1,9
93,armed,2,5
94,wins,4,4
95,youths,4,6
96,headquarters,1,12
97,keeps,6,5
98,wind,8,4
99,wine,6,4
100,earthiness,1,10
101,enquiring,1,9
102,rewarded,1,8
103,wrought,2,7
104,lovingly,1,8
105,fit,7,3
106,charmers,1,8
107,fib,1,3
108,anticipations,1,13
109,vast,1,4
110,hidden,13,6
111,easier,2,6
112,glorify,1,7
113,grievous,1,8
114,slicing,2,7
115,educating,2,9
116,effects,1,7
117,interrupt,1,9
118,silver,2,6
119,rumour,1,6
120,merrily,1,7
121,arrow,1,5
122,volcano,1,7
123,interfering,1,11
124,blushed,2,7
125,obdurate,1,8
126,snakes,1,6
127,series,2,6
128,distillery,1,10
129,blinded,2,7
130,whip,1,4
131,borne,4,5
132,re,1,2
133,millions,6,8
134,outburst,6,8
135,assured,3,7
136,underfoot,1,9
137,threatened,1,10
138,yesterday,1,9
139,headmastership,1,14
140,faculties,1,9
141,checked,2,7
142,obstructing,1,11
143,exposing,1,8
144,shelves,3,7
145,cauldrons,1,9
146,flurry,1,6
147,disturbed,3,9
148,tempting,1,8
149,loudness,1,8
150,caught,10,6
151,wash,2,4
152,sallied,2,7
153,service,6,7
154,xii,2,3
155,forsooth,1,8
156,needed,2,6
157,master,46,6
158,blossoms,5,8
159,xix,1,3
160,legs,2,4
161,bitter,1,6
162,listen,4,6
163,rewards,1,7
164,frowned,1,7
165,stake,1,5
166,wisdom,1,6
167,motionless,1,10
168,positively,4,10
169,showed,7,6
170,coward,3,6
171,anniversaries,1,13
172,tree,6,4
173,nations,1,7
174,shower,2,6
175,exclaimed,26,9
176,sheen,2,5
177,feeling,22,7
178,affairs,1,7
179,wholesome,1,9
180,responsible,1,11
181,causing,2,7
182,absorbed,2,8
183,defiantly,1,9
184,doors,8,5
185,shall,111,5
186,object,12,6
187,toil,1,4
188,mouth,6,5
189,reverence,17,9
190,morality,1,8
191,episode,1,7
192,camp,1,4
193,complexities,1,12
194,dacca,1,5
195,mating,1,6
196,came,111,4
197,saying,32,6
198,insects,1,7
199,meetings,3,8
200,lessons,2,7
201,apace,1,5
202,touches,2,7
203,busy,16,4
204,mens,2,4
205,bush,2,4
206,bliss,1,5
207,touched,18,7
208,rich,1,4
209,foolishly,1,9
210,rice,6,4
211,plate,2,5
212,stammered,1,9
213,terrors,2,7
214,perpetrating,1,12
215,pocket,6,6
216,altogether,8,10
217,relish,1,6
218,looting,1,7
219,nicely,2,6
220,reposes,1,7
221,patch,1,5
222,eyelids,1,7
223,hasten,1,6
224,mussulman,4,9
225,disaster,2,8
226,fair,4,4
227,result,9,6
228,fail,11,4
229,fain,2,4
230,resigned,1,8
231,hammer,1,6
232,best,18,4
233,pricking,1,8
234,playfulness,1,11
235,lots,2,4
236,rings,1,5
237,solicitude,1,10
238,xvi,2,3
239,scorn,3,5
240,preserve,1,8
241,letting,4,7
242,never,126,5
243,nature,39,6
244,rolled,2,6
245,twinkling,1,9
246,extent,3,6
247,debt,4,4
248,tyranny,7,7
249,accident,2,8
250,refinement,2,10
251,country,127,7
252,himalayas,1,9
253,incense,1,7
254,estates,11,7
255,logic,1,5
256,argue,6,5
257,tinge,1,5
258,asked,58,5
259,untruths,3,8
260,vain,5,4
261,humming,2,7
262,grazing,2,7
263,startles,1,8
264,triviality,1,10
265,union,6,5
266,remained,16,8
267,fro,1,3
268,much,55,4
269,life,135,4
270,worker,1,6
271,wish,9,4
272,lift,1,4
273,regaled,1,7
274,child,14,5
275,chill,1,5
276,commerce,2,8
277,anklets,1,7
278,employ,2,6
279,pleads,1,6
280,viii,3,4
281,played,4,6
282,obeying,1,7
283,player,1,6
284,eighteen,1,8
285,trusted,3,7
286,things,56,6
287,woollen,3,7
288,harmony,2,7
289,emphatic,1,8
290,european,6,8
291,permit,1,6
292,marched,1,7
293,supper,1,6
294,tune,7,4
295,intrusion,1,9
296,peremptory,1,10
297,askance,1,7
298,maxims,1,6
299,echoed,1,6
300,milliner,1,8
301,opinions,1,8
302,recoils,1,7
303,boyhood,1,7
304,distribute,1,10
305,boatmen,1,7
306,disguise,4,8
307,sovereigns,7,10
308,plight,3,6
309,rushing,2,7
310,succeeding,1,10
311,enters,1,6
312,craning,1,7
313,ease,2,4
314,had,2,3
315,girding,2,7
316,innocent,7,8
317,nikhils,26,7
318,abashed,2,7
319,municipal,1,9
320,elders,1,6
321,possible,13,8
322,awhile,2,6
323,possibly,8,8
324,indicative,1,10
325,birth,6,5
326,shadow,9,6
327,replace,1,7
328,desire,25,6
329,psychological,1,13
330,steps,10,5
331,battlefield,1,11
332,right,42,5
333,old,41,3
334,jackets,1,7
335,crowd,9,5
336,people,27,6
337,crown,4,5
338,captive,1,7
339,enemies,2,7
340,sociology,1,9
341,bottom,14,6
342,creative,1,8
343,summoned,1,8
344,vidyavagish,1,11
345,defensive,1,9
346,losing,5,6
347,reviled,1,7
348,caskets,1,7
349,shaken,1,6
350,transcends,1,10
351,visitors,1,8
352,o,20,1
353,despair,1,7
354,suggestions,1,11
355,raised,5,6
356,watering,2,8
357,shopkeepers,1,11
358,son,5,3
359,respectable,1,11
360,raises,2,6
361,shoots,2,6
362,despised,4,8
363,waits,1,5
364,support,3,7
365,constantly,3,10
366,tame,1,4
367,greatness,3,9
368,overhead,1,8
369,halls,1,5
370,happy,5,5
371,perfumes,1,8
372,offer,15,5
373,fascination,3,11
374,conclusively,1,12
375,oil,2,3
376,onlooker,1,8
377,silliness,1,9
378,rippling,2,8
379,extremity,1,9
380,inside,10,6
381,palm,1,4
382,later,12,5
383,proved,3,6
384,crumble,1,7
385,soothe,1,6
386,protested,5,9
387,floor,10,5
388,crowns,1,6
389,uttered,3,7
390,flood,12,5
391,upanishads,1,10
392,desecrate,1,9
393,momentary,1,9
394,hurled,1,6
395,palms,1,5
396,acquaintance,2,12
397,rolling,2,7
398,sanctions,1,9
399,lithesomeness,1,13
400,beamed,1,6
401,time,149,4
402,push,2,4
403,overturned,1,10
404,chain,2,5
405,eternally,1,9
406,disrepute,1,9
407,chair,7,5
408,primeval,2,8
409,schoolboys,1,10
410,rousing,1,7
411,moulded,1,7
412,bribed,2,6
413,choice,2,6
414,fees,1,4
415,votary,1,6
416,bustle,1,6
417,stays,1,5
418,fullest,1,7
419,fretting,2,8
420,exact,2,5
421,minute,5,6
422,tear,3,4
423,leave,33,5
